net,length_um
_201_,334.11
_204_,327.13
net1,319.57
net14,313.4
net7,305.27
net2,300.12
net15,288.3
_169_,287.275
net8,276.92
net17,274.54
_181_,271.97
net10,265.94
_178_,265.38
_028_,263.86
_166_,254.055
_016_,252.54
net4,251.35
_221_,248.49
_015_,244.04
_167_,243.745
net18,239.04
_095_,233.56
_224_,231.06
net3,230.96
net19,230.26
_067_,229.69
_019_,226.16
net16,222.79
_216_,221.02
_188_,216.24
_186_,214.06
_132_,211.12
_208_,209.96
_051_,204.31
_037_,203.07
net5,200
_190_,199.41
_029_,199.3
_059_,198.755
_083_,196.41
_086_,195.54
_173_,192.45
_203_,191.9
_168_,189.06
_226_,188.68
_165_,187.34
_096_,181.79
_105_,181.19
_140_,179.56
net37,178.61
_077_,176.76
net28,176.06
_211_,175.21
_047_,174.62
_196_,174.34
_001_,172.85
_075_,172.7
_230_,172.48
_058_,171.73
_018_,171.27
_127_,169.48
net9,167.14
net12,165.86
_177_,163.8
net20,162.87
_039_,162.26
_023_,162.07
net39,160.97
_112_,159.51
_232_,159.13
net11,157.23
_108_,157.18
net35,156.93
_126_,156.39
_027_,153.58
_005_,152.03
_218_,150.82
_155_,149.1
_107_,148.64
_098_,148
_207_,147.87
_195_,147.46
_074_,147.14
net36,147.12
_225_,143.51
_035_,142.82
_071_,142.68
_000_,141.33
_090_,140.27
_046_,138.31
_008_,137.7
_097_,137.58
_007_,136.88
net6,136.04
_079_,135.66
net21,135.45
net13,134.08
_183_,133.34
_223_,131.22
_184_,129.76
_025_,129.75
_228_,129.33
_150_,127.84
_038_,127.26
_053_,127.22
_087_,126.2
_050_,122.64
_213_,122.52
_164_,121.97
_129_,119.6
_088_,118.84
_128_,118.62
net25,118.3
_163_,117.84
_113_,116.96
_156_,116.94
_065_,116.34
_159_,116.16
_114_,115.75
_227_,115.6
_093_,115.54
_024_,114.16
_060_,114
_066_,113.44
_048_,113.43
_160_,113.2
_187_,112.04
_214_,110.79
_212_,110.39
_033_,110.16
_092_,109.88
_076_,109.34
_022_,108.86
_110_,108.79
_115_,108.4
_073_,107.42
_192_,107.32
_222_,106.36
_197_,105.84
_124_,105.56
_206_,105.42
_064_,103.64
_111_,102.72
_139_,102.53
_084_,102.52
_036_,101.82
_063_,101.28
_202_,100.85
_094_,100.78
_106_,99.88
_042_,99.42
_102_,99.12
_109_,98.32
_117_,97.34
_194_,96.96
net38,96.8
_118_,96.68
_182_,96.16
_085_,95.86
_052_,89.8
net31,89.76
_002_,88.64
_021_,88.01
_070_,87.58
_032_,87.35
_138_,87.12
_089_,87.08
net22,86.7
_103_,86.66
_176_,85.07
_119_,84.7
net26,84.36
_056_,84.34
_153_,82.98
_055_,82.22
_054_,80.66
_219_,79.94
_116_,79.62
_144_,79.57
_013_,79.22
_149_,79.12
_003_,78.1
_125_,77.7
_220_,77.6
_121_,75.86
_199_,74.96
_030_,74.86
_161_,74.74
_061_,73.4
_123_,72.96
_136_,72.6
_157_,72.56
_009_,71.76
_034_,71.74
net32,71.58
_209_,70.76
_170_,69.52
_062_,67.28
_146_,67.16
_174_,66.54
_137_,65.56
_040_,64.44
_031_,64.22
_004_,64.04
_191_,62.48
net27,61.84
net34,60.12
_120_,59.82
_215_,58.88
_081_,58.58
_158_,57.86
_041_,57.36
net23,56.4
_185_,55.66
_134_,55.58
_180_,54.36
_080_,54.22
_133_,53.68
_131_,52.58
_175_,51.7
_229_,51.58
_179_,50.58
_057_,49.7
_143_,49.38
_145_,49.22
_171_,48.22
_130_,48.02
_006_,47.34
_044_,45.18
_082_,43.7
net24,42.48
_049_,41.34
net33,40.82
_231_,40.76
_011_,39.02
_193_,38.905
net30,38.88
_135_,38.6
_210_,38.32
_020_,37.74
_101_,37.66
_072_,37.3
net29,37.1
_068_,36.5
_017_,36.42
_099_,34.72
_104_,33.5
_141_,33.22
_010_,33.06
_100_,32.9
_148_,32.02
_045_,30.36
_152_,29.36
_205_,28.52
_014_,25.3
_142_,25.14
_198_,24.8
net40,22.08
_200_,21.08
_147_,20.56
_043_,19.36
_091_,18.02
_162_,17.64
_172_,17.36
_122_,16.76
_078_,16.3
_026_,15.32
out[7],11.03
_151_,10.66
_012_,10.24
_233_,9.46
B[2],8.05
out[2],7.57
_154_,7.48
_069_,7.2
B[4],7.03
A[3],6.77
A[7],6.77
B[3],6.77
B[7],6.77
opcode[2],6.77
B[1],6.43
out[1],6.21
A[1],6.09
out[6],5.99
A[5],5.97
B[5],5.97
opcode[0],5.97
out[3],5.87
B[6],5.63
A[0],5.41
A[2],5.41
opcode[1],5.41
out[5],5.31
A[6],5.29
B[0],5.29
out[0],4.85
out[4],4.85
A[4],4.61
_189_,2.98
_217_,2.96
